x,y,z,intensity
-4.8000,-4.8000,0.0390,0.5341
-4.8000,-4.6800,0.0470,0.5158
-4.8000,-4.5600,0.0538,0.5451
-4.8000,-4.4400,0.0590,0.5626
-4.8000,-4.3200,0.0624,0.5613
-4.8000,-4.2000,0.0640,0.5722
-4.8000,-4.0800,0.0636,0.5324
-4.8000,-3.9600,0.0613,0.5698
-4.8000,-3.8400,0.0571,0.5408
-4.8000,-3.7200,0.0511,0.5602
-4.8000,-3.6000,0.0435,0.5329
-4.8000,-3.4800,0.0346,0.5478
-4.8000,-3.3600,0.0246,0.5020
-4.8000,-3.2400,0.0137,0.5042
-4.8000,-3.1200,0.0023,0.4931
-4.8000,-3.0000,-0.0094,0.4924
-4.8000,-2.8800,-0.0210,0.4628
-4.8000,-2.7600,-0.0325,0.4553
-4.8000,-2.6400,-0.0434,0.4832
-4.8000,-2.5200,-0.0537,0.4714
-4.8000,-2.4000,-0.0632,0.4249
-4.8000,-2.2800,-0.0717,0.4433
-4.8000,-2.1600,-0.0793,0.4255
-4.8000,-2.0400,-0.0858,0.4145
-4.8000,-1.9200,-0.0913,0.4230
-4.8000,-1.8000,-0.0958,0.4471
-4.8000,-1.6800,-0.0993,0.4102
-4.8000,-1.5600,-0.1020,0.4038
-4.8000,-1.4400,-0.1038,0.4148
-4.8000,-1.3200,-0.1050,0.4017
-4.8000,-1.2000,-0.1055,0.4139
-4.8000,-1.0800,-0.1057,0.4014
-4.8000,-0.9600,-0.1054,0.4337
-4.8000,-0.8400,-0.1049,0.4107
-4.8000,-0.7200,-0.1043,0.4244
-4.8000,-0.6000,-0.1036,0.3969
-4.8000,-0.4800,-0.1029,0.4170
-4.8000,-0.3600,-0.1023,0.3952
-4.8000,-0.2400,-0.1018,0.4063
-4.8000,-0.1200,-0.1015,0.4251
-4.8000,0.0000,-0.1014,0.4406
-4.8000,0.1200,-0.1015,0.4361
-4.8000,0.2400,-0.1018,0.4025
-4.8000,0.3600,-0.1023,0.4042
-4.8000,0.4800,-0.1029,0.4013
-4.8000,0.6000,-0.1036,0.4384
-4.8000,0.7200,-0.1043,0.4359
-4.8000,0.8400,-0.1049,0.4339
-4.8000,0.9600,-0.1054,0.4272
-4.8000,1.0800,-0.1057,0.4287
-4.8000,1.2000,-0.1055,0.4255
-4.8000,1.3200,-0.1050,0.4005
-4.8000,1.4400,-0.1038,0.4165
-4.8000,1.5600,-0.1020,0.4341
-4.8000,1.6800,-0.0993,0.3960
-4.8000,1.8000,-0.0958,0.4372
-4.8000,1.9200,-0.0913,0.4201
-4.8000,2.0400,-0.0858,0.4299
-4.8000,2.1600,-0.0793,0.4385
-4.8000,2.2800,-0.0717,0.4438
-4.8000,2.4000,-0.0632,0.4309
-4.8000,2.5200,-0.0537,0.4484
-4.8000,2.6400,-0.0434,0.4803
-4.8000,2.7600,-0.0325,0.4529
-4.8000,2.8800,-0.0210,0.4640
-4.8000,3.0000,-0.0094,0.4677
-4.8000,3.1200,0.0023,0.5015
-4.8000,3.2400,0.0137,0.4862
-4.8000,3.3600,0.0246,0.5159
-4.8000,3.4800,0.0346,0.5505
-4.8000,3.6000,0.0435,0.5129
-4.8000,3.7200,0.0511,0.5319
